category,Niederschlag
1980/01,80.4
1980/02,44.2
1980/03,58.3
1980/04,71.5
1980/05,85.4
1980/06,175.1
1980/07,134.1
1980/08,71
1980/09,25.9
1980/10,122.2
1980/11,38.6
1980/12,42.5
1981/01,63.5
1981/02,24.3
1981/03,84.8
1981/04,33
1981/05,137.3
1981/06,86.4
1981/07,120.2
1981/08,96
1981/09,90.5
1981/10,124.4
1981/11,83.3
1981/12,167.9
1982/01,101.1
1982/02,18.7
1982/03,81.1
1982/04,30.3
1982/05,63.3
1982/06,136.2
1982/07,162.1
1982/08,128.3
1982/09,46
1982/10,149
1982/11,61.1
1982/12,153.2
1983/01,65.7
1983/02,51.4
1983/03,90.4
1983/04,149.7
1983/05,243.8
1983/06,117.1
1983/07,40.5
1983/08,41.7
1983/09,122.3
1983/10,45.2
1983/11,32.6
1983/12,47
1984/01,79.2
1984/02,63.2
1984/03,54.8
1984/04,49.7
1984/05,126.5
1984/06,46.5
1984/07,77.7
1984/08,90.9
1984/09,165.9
1984/10,103.1
1984/11,49.9
1984/12,70.9
1985/01,73.7
1985/02,35.5
1985/03,57.2
1985/04,85
1985/05,147.2
1985/06,75.1
1985/07,54.5
1985/08,71.5
1985/09,49
1985/10,13.4
1985/11,63.7
1985/12,65.3
1986/01,79.5
1986/02,60.9
1986/03,59.6
1986/04,181.4
1986/05,103.9
1986/06,113.9
1986/07,117
1986/08,126.4
1986/09,57.4
1986/10,64.1
1986/11,49
1986/12,53.6
1987/01,44.5
1987/02,68.9
1987/03,67.4
1987/04,47.8
1987/05,172.6
1987/06,147.8
1987/07,81.2
1987/08,90.9
1987/09,137.6
1987/10,83.4
1987/11,49.6
1987/12,46.6
1988/01,52.6
1988/02,84.4
1988/03,131.9
1988/04,43.9
1988/05,95.3
1988/06,73.1
1988/07,117.6
1988/08,89.5
1988/09,108.3
1988/10,95.1
1988/11,39.5
1988/12,107.5
1989/01,11.4
1989/02,58.5
1989/03,34.9
1989/04,179.2
1989/05,31.3
1989/06,43.8
1989/07,132.3
1989/08,60.1
1989/09,45.9
1989/10,72.1
1989/11,44.2
1989/12,109.1
1990/01,16.5
1990/02,54.2
1990/03,35.6
1990/04,51.8
1990/05,47.8
1990/06,166.1
1990/07,41.6
1990/08,68.3
1990/09,82.1
1990/10,83.8
1990/11,125.5
1990/12,64.5
1991/01,23.6
1991/02,16.5
1991/03,54.8
1991/04,33.1
1991/05,61.8
1991/06,91.5
1991/07,106.8
1991/08,11.8
1991/09,88.3
1991/10,62.1
1991/11,112
1991/12,74.4
1992/01,24.1
1992/02,63.7
1992/03,88.1
1992/04,73.9
1992/05,46
1992/06,131.5
1992/07,54.4
1992/08,66.6
1992/09,45.3
1992/10,88.6
1992/11,89.3
1992/12,52.7
1993/01,16.3
1993/02,22.8
1993/03,22.6
1993/04,33.9
1993/05,80.1
1993/06,84
1993/07,88.3
1993/08,87
1993/09,110.5
1993/10,82.9
1993/11,28.6
1993/12,100
1994/01,85.7
1994/02,59.3
1994/03,55.3
1994/04,84.9
1994/05,176.9
1994/06,100.7
1994/07,74.2
1994/08,78
1994/09,115.9
1994/10,61.5
1994/11,15.3
1994/12,69.7
1995/01,91.5
1995/02,64.9
1995/03,80.2
1995/04,58.5
1995/05,210
1995/06,69
1995/07,99.3
1995/08,91.4
1995/09,131.1
1995/10,28.8
1995/11,94.2
1995/12,95.2
1996/01,6
1996/02,35.2
1996/03,26.4
1996/04,53.2
1996/05,157.7
1996/06,93.2
1996/07,126.2
1996/08,103.3
1996/09,55.5
1996/10,82.9
1996/11,113.9
1996/12,79.3
1997/01,27.3
1997/02,58.6
1997/03,26
1997/04,53.8
1997/05,63.8
1997/06,168.3
1997/07,83.7
1997/08,28.8
1997/09,62.2
1997/10,67.8
1997/11,57.7
1997/12,130
1998/01,57.8
1998/02,31.9
1998/03,55.7
1998/04,134.7
1998/05,48.1
1998/06,76.4
1998/07,49.9
1998/08,85.9
1998/09,124.1
1998/10,93.2
1998/11,66.5
1998/12,32.1
1999/01,64.1
1999/02,78.8
1999/03,59.2
1999/04,103
1999/05,101.2
1999/06,118.3
1999/07,114.5
1999/08,86.5
1999/09,71.8
1999/10,81.9
1999/11,66.1
1999/12,108.4
2000/01,29.9
2000/02,93.5
2000/03,53.6
2000/04,49.7
2000/05,114.8
2000/06,23.3
2000/07,180
2000/08,81.7
2000/09,73.1
2000/10,76.2
2000/11,82.9
2000/12,34.1
2001/01,59.8
2001/02,38.9
2001/03,158.1
2001/04,114.2
2001/05,98.9
2001/06,159.5
2001/07,110.2
2001/08,52.1
2001/09,135.2
2001/10,79.2
2001/11,96.7
2001/12,19.9
2002/01,19.4
2002/02,65.6
2002/03,48.3
2002/04,68.7
2002/05,154.5
2002/06,120.7
2002/07,101.6
2002/08,98.4
2002/09,87.3
2002/10,109.4
2002/11,193
2002/12,62
2003/01,66.1
2003/02,20.1
2003/03,41.5
2003/04,56.5
2003/05,89.8
2003/06,26.5
2003/07,53.4
2003/08,51
2003/09,43.9
2003/10,119.3
2003/11,62
2003/12,24.2
2004/01,94.8
2004/02,24.2
2004/03,35.5
2004/04,22.4
2004/05,54.1
2004/06,96.4
2004/07,124.1
2004/08,131
2004/09,25.2
2004/10,183.1
2004/11,28
2004/12,57.5
2005/01,35.5
2005/02,40.6
2005/03,40.9
2005/04,127.1
2005/05,125.6
2005/06,39.9
2005/07,122.3
2005/08,107.2
2005/09,102.2
2005/10,80
2005/11,24.7
2005/12,53.7
2006/01,13.8
2006/02,57.4
2006/03,101.2
2006/04,81.5
2006/05,168.1
2006/06,35.4
2006/07,18.9
2006/08,176.8
2006/09,202.4
2006/10,118
2006/11,48.5
2006/12,48.2
2007/01,37.5
2007/02,58
2007/03,89.2
2007/04,3.2
2007/05,111.9
2007/06,138.2
2007/07,112.4
2007/08,115.5
2007/09,50.3
2007/10,8.3
2007/11,60
2007/12,52.6
2008/01,37.3
2008/02,26.1
2008/03,60.3
2008/04,144.2
2008/05,65.1
2008/06,64.8
2008/07,69.5
2008/08,92.7
2008/09,92
2008/10,106.7
2008/11,20.6
2008/12,67.7
2009/01,21.8
2009/02,73.4
2009/03,96.7
2009/04,12.8
2009/05,54.4
2009/06,73
2009/07,155.2
2009/08,28.6
2009/09,24.7
2009/10,76.4
2009/11,63.7
2009/12,96.8
2010/01,40.8
2010/02,35.4
2010/03,44.5
2010/04,28.5
2010/05,122.8
2010/06,42.5
2010/07,66.1
2010/08,146.1
2010/09,55.3
2010/10,43.8
2010/11,76.4
2010/12,111.9
2011/01,38.7
2011/02,32.9
2011/03,43.1
2011/04,29.9
2011/05,54.9
2011/06,133
2011/07,100.2
2011/08,82.2
2011/09,39
2011/10,60.3
2011/11,1.1
2011/12,101.2
2012/01,65.1
2012/02,17.9
2012/03,22.7
2012/04,66
2012/05,88
2012/06,137.8
2012/07,93.3
2012/08,86.8
2012/09,91.5
2012/10,111.3
2012/11,125.9
2012/12,93.6
2013/01,33.4
2013/02,67.3
2013/03,37.7
2013/04,60.7
2013/05,158.7
2013/06,56.2
2013/07,70.5
2013/08,72.4
2013/09,112.2
2013/10,149.8
2013/11,99.5
2013/12,100.3
2014/01,55
2014/02,69.5
2014/03,13.7
2014/04,59.9
2014/05,73.4
2014/06,41.9
2014/07,279.7
2014/08,72.6
2014/09,60.7
2014/10,65.1
2014/11,77.7
2014/12,39.6
2015/01,82.2
2015/02,45.9
2015/03,22.2
2015/04,104.3
2015/05,114.2
2015/06,99.9
2015/07,56.7
2015/08,39.1
2015/09,63.2
2015/10,31.5
2015/11,84.8
2015/12,15.1
2016/01,113.8
2016/02,76.6
2016/03,57.7
2016/04,165
2016/05,96.9
2016/06,155.3
2016/07,40.7
2016/08,42.4
2016/09,37.4
2016/10,52.8
2016/11,67.2
2016/12,6.2
